Sample	Population	Low CoverageEBV Coverage	DNA Source from Coriell	Has Sequence from Blood in Index
HG00288	FIN	157.53	LCL	
HG00290	FIN	947.41	LCL	
HG00302	FIN		LCL	
HG00303	FIN		LCL	
HG00304	FIN	89.16	LCL	
HG00409	CHS	290.51	LCL	
HG00410	CHS	58.18	LCL	
HG00598	CHS	105	LCL	
HG00599	CHS	162.22	LCL	
HG00622	CHS	271.24	LCL	
HG00623	CHS	114.25	LCL	
HG00631	CHS	29.28	LCL	
HG00632	CHS	48.91	LCL	
HG00674	CHS	47.26	LCL	
HG00675	CHS	63.6	LCL	
HG00716	CHS		LCL	
HG00717	CHS	336.72	LCL	
HG00728	CHS	111.51	LCL	
HG00729	CHS	119.08	LCL	
HG00731	PUR	478.33	LCL	1
HG00732	PUR	411.47	LCL	1
HG00733	PUR	229.09	Blood	1
HG00742	PUR	0.06	Blood	
HG00743	PUR	0.05	Blood	
HG01058	PUR	0.02	Blood	
HG01063	PUR	0	Blood	
HG01064	PUR	0.04	Blood	
HG01077	PUR	0	Blood	
HG01088	PUR	0	Blood	
HG01089	PUR	0	Blood	
HG01092	PUR	0	Blood	
HG01119	CLM	261.56	LCL	
HG01121	CLM	349.32	LCL	
HG01122	CLM	192.57	LCL	
HG01130	CLM	238.79	LCL	
HG01131	CLM	366.65	LCL	
HG01142	CLM	250.4	LCL	
HG01161	PUR	0.02	Blood	
HG01162	PUR	0	Blood	
HG01164	PUR	0.01	Blood	
HG01195	PUR		Blood	
HG01200	PUR	0	Blood	
HG01269	CLM	133.27	LCL	
HG01280	CLM	68.71	LCL	
HG01281	CLM	117.15	LCL	
HG01284	CLM	103.81	LCL	
HG01286	PUR	0	Blood	
HG01302	PUR	0	Blood	
HG01303	PUR	0	Blood	
HG01305	PUR	0	Blood	
HG01308	PUR	0	Blood	
HG01311	PUR	0	Blood	
HG01312	PUR	0	Blood	
HG01322	PUR		Blood	
HG01323	PUR	0	Blood	
HG01325	PUR	0	Blood	
HG01326	PUR	0	Blood	
HG01362	CLM	715.43	LCL	
HG01363	CLM	165.09	LCL	
HG01369	CLM	149.34	LCL	
HG01372	CLM	77.68	LCL	
HG01392	PUR	0.02	Blood	
HG01393	PUR	0.02	Blood	
HG01395	PUR	0	Blood	
HG01396	PUR	0	Blood	
HG01398	PUR	0.08	Blood	
HG01402	PUR	0	Blood	
HG01403	PUR	0.03	Blood	
HG01405	PUR	89.04	Blood	1
HG01412	PUR	0.46	Blood	1
HG01413	PUR	0.01	Blood	
HG01414	PUR	0.24	Blood	
HG01431	CLM	65.46	LCL	
HG01432	CLM	649.19	LCL	
HG01435	CLM	50.73	LCL	
HG01443	CLM	62.02	LCL	
HG01444	CLM	60.1	LCL	
HG01447	CLM	143.31	LCL	
HG01452	CLM		LCL	
HG01453	CLM		LCL	
HG01459	CLM	126.71	LCL	
HG01468	CLM	141.19	LCL	
HG01471	CLM		LCL	
HG01473	CLM		LCL	
HG01474	CLM	90.8	LCL	
HG01477	CLM		LCL	
HG01479	CLM	92.86	LCL	
HG01480	CLM		LCL	
HG01482	CLM		LCL	
HG01483	CLM		LCL	
HG01485	CLM	59.04	LCL	
HG01486	CLM	503.33	LCL	
HG01556	CLM	78.91	LCL	
HG01583	PJL	0	Blood	
HG01586	PJL	0	Blood	
HG01589	PJL	0	Blood	
HG01590	PJL		Blood	
HG01593	PJL	0	Blood	
HG01765	IBS	436.32	LCL	
HG01766	IBS	844.3	LCL	
HG01767	IBS	177.24	LCL	
HG01768	IBS	202.56	LCL	
HG01785	IBS	211.51	LCL	
HG01786	IBS	408.49	LCL	
HG01961	PEL	0	Blood	
HG01965	PEL	0.01	Blood	
HG01995	PEL		Blood	
HG02006	PEL	88.78	LCL	
HG02024	KHV	360.53	Blood	1
HG02025	KHV	669.44	LCL	1
HG02026	KHV	190.74	LCL	1
HG02102	PEL	0.17	Blood	
HG02150	PEL	0.05	Blood	
HG02168	CDX		LCL	
HG02169	CDX		LCL	
HG02170	CDX		LCL	
HG02173	CDX		LCL	
HG02176	CDX		LCL	
HG02218	IBS		LCL	
HG02219	IBS	579.57	LCL	
HG02252	PEL	0.03	Blood	
HG02253	PEL	0.01	Blood	
HG02262	PEL	0	Blood	
HG02265	PEL	0.16	Blood	
HG02266	PEL	0.1	Blood	
HG02274	PEL	0	Blood	
HG02275	PEL	0.01	Blood	
HG02288	PEL		Blood	
HG02304	PEL	0	Blood	
HG02312	PEL	0	Blood	
HG02344	PEL		Blood	
HG02345	PEL	0.03	Blood	
HG02347	PEL		Blood	
HG02348	PEL	0	Blood	
HG02358	CDX		LCL	
HG02405	CDX		LCL	
HG02408	CDX	331.46	LCL	
HG02410	CDX	248.88	LCL	
HG02415	PEL		Blood	
HG02425	PEL	0.19	Blood	
HG02439	ACB	0.02	Blood	
HG02455	ACB	0.02	Blood	
HG02461	GWD	82.96	LCL	
HG02462	GWD	458.17	LCL	
HG02464	GWD	88.64	LCL	
HG02465	GWD	64.14	LCL	
HG02476	ACB	0.11	Blood	
HG02477	ACB	0.15	Blood	
HG02481	ACB	0.02	Blood	
HG02490	PJL	0.43	Blood	
HG02491	PJL	0.42	Blood	
HG02493	PJL	0.01	Blood	
HG02494	PJL	0	Blood	
HG02501	ACB	0.05	Blood	
HG02502	ACB	0.14	Blood	
HG02505	ACB	0.03	Blood	
HG02524	KHV		Blood	
HG02525	KHV		Blood	
HG02536	ACB	0.01	Blood	
HG02541	ACB	0	Blood	
HG02545	ACB	0.1	Blood	
HG02546	ACB	0.17	Blood	
HG02549	ACB	0.01	Blood	
HG02554	ACB	0.04	Blood	
HG02555	ACB	0	Blood	
HG02557	ACB	0.12	Blood	
HG02558	ACB	0.13	Blood	
HG02561	GWD	439.8	LCL	
HG02562	GWD	119.97	LCL	
HG02567	GWD		LCL	
HG02568	GWD	83.56	LCL	
HG02570	GWD	124.79	LCL	
HG02571	GWD	182.5	LCL	
HG02573	GWD	45.17	LCL	
HG02574	GWD	107.96	LCL	
HG02577	ACB	0.02	Blood	
HG02580	ACB	0.03	Blood	
HG02582	GWD	323.27	LCL	
HG02583	GWD	1079.66	LCL	
HG02585	GWD	279.97	LCL	
HG02586	GWD	438.63	LCL	
HG02588	GWD	416.37	LCL	
HG02589	GWD	584.86	LCL	
HG02594	GWD	101.51	LCL	
HG02595	GWD	176.78	LCL	
HG02597	PJL	0.02	Blood	
HG02600	PJL	0.39	Blood	
HG02601	PJL	0.48	Blood	
HG02603	PJL	0.43	Blood	
HG02604	PJL	0.43	Blood	
HG02610	GWD	61.4	LCL	
HG02611	GWD	372.14	LCL	
HG02613	GWD	638.94	LCL	
HG02614	GWD	533.99	LCL	
HG02620	GWD	381.02	LCL	
HG02621	GWD	260.33	LCL	
HG02623	GWD	247.48	LCL	
HG02624	GWD	362.3	LCL	
HG02628	GWD	119.81	LCL	
HG02629	GWD	333.12	LCL	
HG02634	GWD	320.74	LCL	
HG02635	GWD	871.56	LCL	
HG02642	GWD	163.54	LCL	
HG02643	GWD	126.45	LCL	
HG02645	GWD	401.27	LCL	
HG02646	GWD	178.43	LCL	
HG02648	PJL	0.34	Blood	
HG02649	PJL	0.05	Blood	
HG02651	PJL	0.02	Blood	
HG02652	PJL	0	Blood	
HG02654	PJL	0.4	Blood	
HG02655	PJL	0.39	Blood	
HG02657	PJL	0.5	Blood	
HG02658	PJL	0.93	Blood	
HG02660	PJL	0.39	Blood	
HG02661	PJL	0.42	Blood	
HG02666	GWD	244.09	LCL	
HG02667	GWD	154.93	LCL	
HG02675	GWD	238.11	LCL	
HG02676	GWD	108.24	LCL	
HG02678	GWD	64.69	LCL	
HG02679	GWD	123.79	LCL	
HG02681	PJL	0.02	Blood	
HG02682	PJL	0.01	Blood	
HG02684	PJL	0.41	Blood	
HG02685	PJL	0.79	Blood	
HG02687	PJL	0.45	Blood	
HG02688	PJL	0.54	Blood	
HG02690	PJL	0.01	Blood	
HG02691	PJL	0.01	Blood	
HG02694	PJL	0.03	Blood	
HG02696	PJL	0.81	Blood	
HG02697	PJL	0.44	Blood	
HG02699	PJL	0	Blood	
HG02700	PJL	0	Blood	
HG02702	GWD	109.15	LCL	
