IID	sex	pop
HG00641	female	PUR
HG00552	male	PUR
HG00639	female	PUR
HG00735	female	PUR
HG01048	male	PUR
HG01050	female	PUR
HG01055	female	PUR
HG01079	male	PUR
HG01081	female	PUR
HG01086	female	PUR
HG01062	female	PUR
HG01067	female	PUR
HG01074	male	PUR
HG01106	male	PUR
HG01113	female	CLM
HG00742	male	PUR
HG01098	female	PUR
HG01101	male	PUR
HG01308	male	PUR
HG01322	male	PUR
HG01327	male	PUR
HG01341	male	CLM
HG01257	female	CLM
HG01269	female	CLM
HG01271	male	CLM
HG01170	male	PUR
HG01175	female	PUR
HG01182	male	PUR
HG01149	female	CLM
HG01168	female	PUR
HG01276	female	CLM
HG01303	female	PUR
HG01125	female	CLM
HG01137	female	CLM
HG01187	male	PUR
HG01199	male	PUR
HG01252	male	CLM
HG01346	female	CLM
HG01353	male	CLM
HG01358	male	CLM
HG01360	female	CLM
HG01365	male	CLM
HG01492	female	CLM
HG01497	male	CLM
HG01459	female	CLM
HG01461	male	CLM
HG01466	female	CLM
HG01473	male	CLM
HG01389	male	CLM
HG01391	female	CLM
HG01396	female	PUR
HG01372	female	CLM
HG01377	male	CLM
HG01384	female	CLM
HG01404	female	PUR
HG01411	male	PUR
HG01435	female	CLM
HG01442	male	CLM
HG01447	female	CLM
HG01454	female	CLM
HG01480	female	CLM
HG01485	male	CLM
HG01550	male	CLM
HG01567	female	PEL
HG01579	male	PEL
HG01884	female	ACB
HG01889	female	ACB
HG01891	female	ACB
HG01896	female	ACB
HG01916	female	ACB
HG01992	female	PEL
HG01997	female	PEL
HG02003	female	PEL
HG02008	male	PEL
HG02010	female	ACB
HG01947	male	PEL
HG01954	female	PEL
HG01959	female	ACB
HG01961	male	PEL
HG02053	male	ACB
HG01923	male	PEL
HG01928	male	PEL
HG01935	male	PEL
HG01980	female	PEL
HG01985	female	ACB
HG01973	female	PEL
HG01978	female	PEL
HG01942	female	PEL
HG02089	female	PEL
HG02091	female	PEL
HG02104	male	PEL
HG02111	female	ACB
HG02147	female	PEL
HG02255	male	ACB
HG02325	female	ACB
HG02332	male	ACB
HG02337	female	ACB
HG02344	male	PEL
HG02279	male	PEL
HG02281	male	ACB
HG02286	female	PEL
HG02293	female	PEL
HG02298	female	PEL
HG02301	female	PEL
HG02262	male	PEL
HG02267	female	PEL
HG02274	male	PEL
HG02419	female	ACB
HG02433	male	ACB
HG02445	male	ACB
HG02318	female	ACB
HG02541	male	ACB
HG02546	female	ACB
HG02471	female	ACB
HG02476	female	ACB
HG02577	female	ACB
HG02508	female	ACB
HG02558	female	ACB
NA07340	female	CEU
NA07345	female	CEU
NA07357	male	CEU
NA10831	female	CEU
NA06986	male	CEU
NA06993	male	CEU
NA10836	female	CEU
NA10843	female	CEU
NA10850	female	CEU
NA10855	female	CEU
HG00554	female	PUR
NA12375	male	CEU
NA12399	male	CEU
NA12414	female	CEU
NA12546	male	CEU
NA12003	male	CEU
NA12046	female	CEU
NA12058	female	CEU
HG00731	male	PUR
NA12717	female	CEU
HG00553	male	PUR
NA12748	male	CEU
HG00551	female	PUR
NA12750	male	CEU
NA12813	female	CEU
NA12818	female	CEU
NA12832	female	CEU
NA12762	male	CEU
NA12767	female	CEU
NA12801	male	CEU
NA12154	male	CEU
NA12248	male	CEU
NA12274	male	CEU
NA11930	male	CEU
NA11992	male	CEU
HG00638	female	PUR
NA12286	male	CEU
HG00642	male	PUR
NA12344	male	CEU
HG00732	female	PUR
NA11839	male	CEU
NA11891	male	CEU
HG00640	male	PUR
NA18520	female	YRI
NA18486	male	YRI
NA18498	male	YRI
HG00736	male	PUR
NA18501	male	YRI
HG00743	female	PUR
HG01061	female	PUR
HG01066	male	PUR
HG01107	male	PUR
HG01064	female	PUR
HG01073	female	PUR
HG01114	female	CLM
HG01069	male	PUR
HG01119	female	CLM
HG01071	female	PUR
HG00734	female	PUR
HG01138	male	CLM
HG00737	female	PUR
NA18506	male	YRI
HG01140	female	CLM
NA18518	female	YRI
HG01164	male	PUR
HG01083	female	PUR
HG01080	female	PUR
HG01049	female	PUR
HG01088	male	PUR
HG01085	male	PUR
HG01051	male	PUR
HG01052	female	PUR
HG01047	male	PUR
HG01056	male	PUR
HG01054	male	PUR
HG01094	male	PUR
HG01254	female	CLM
HG00739	male	PUR
HG01099	male	PUR
HG01259	male	CLM
HG00741	female	PUR
NA12875	female	CEU
HG01102	female	PUR
HG01261	male	CLM
NA18854	male	YRI
HG01121	male	CLM
HG01273	male	CLM
