anc.pop	admx.pop	sex	proportion	norm.proportion	bootstrap
Native_American	ACB	f	0.003	0.00298210735586481	1
European	ACB	f	0	0	1
African	ACB	f	0.5	0.497017892644135	1
Native_American	ACB	m	0	0	1
European	ACB	m	0.115	0.11569416498994	1
African	ACB	m	0.382	0.38430583501006	1
Native_American	ASW	f	0	0	1
European	ASW	f	0.056	0.0558882235528942	1
African	ASW	f	0.445	0.444111776447106	1
Native_American	ASW	m	0.029	0.029	1
European	ASW	m	0.149	0.149	1
African	ASW	m	0.322	0.322	1
Native_American	CLM	f	0.259	0.273206751054852	1
European	CLM	f	0.157	0.165611814345992	1
African	CLM	f	0.058	0.0611814345991561	1
Native_American	CLM	m	0	0	1
European	CLM	m	0.5	0.476190476190476	1
African	CLM	m	0.025	0.0238095238095238	1
Native_American	MXL	f	0.459	0.452662721893491	1
European	MXL	f	0.048	0.0473372781065089	1
African	MXL	f	0	0	1
Native_American	MXL	m	0	0	1
European	MXL	m	0.444	0.449392712550607	1
African	MXL	m	0.05	0.0506072874493927	1
Native_American	PEL	f	0.5	0.475285171102662	1
European	PEL	f	0	0	1
African	PEL	f	0.026	0.0247148288973384	1
Native_American	PEL	m	0.272	0.287526427061311	1
European	PEL	m	0.201	0.212473572938689	1
African	PEL	m	0	0	1
Native_American	PUR	f	0.131	0.131	1
European	PUR	f	0.243	0.243	1
African	PUR	f	0.126	0.126	1
Native_American	PUR	m	0	0	1
European	PUR	m	0.5	0.5	1
African	PUR	m	0	0	1
Native_American	ACB	f	0.003	0.00298210735586481	2
European	ACB	f	0	0	2
African	ACB	f	0.5	0.497017892644135	2
Native_American	ACB	m	0	0	2
European	ACB	m	0.11	0.110441767068273	2
African	ACB	m	0.388	0.389558232931727	2
Native_American	ASW	f	0.034	0.037117903930131	2
European	ASW	f	0.059	0.064410480349345	2
African	ASW	f	0.365	0.398471615720524	2
Native_American	ASW	m	0	0	2
European	ASW	m	0.131	0.121072088724584	2
African	ASW	m	0.41	0.378927911275416	2
Native_American	CLM	f	0.268	0.272912423625255	2
European	CLM	f	0.171	0.174134419551935	2
