IID	pop	med.mtcopyn
NA06984	CEU	915.026530757036
NA06985	CEU	1105.36155472596
NA06986	CEU	1153.42983172551
NA06989	CEU	1467.17050600379
NA06994	CEU	1207.55911575869
NA07000	CEU	749.735676997662
NA07037	CEU	575.88781783695
NA07048	CEU	634.051118236818
NA07051	CEU	1347.43240675815
NA07056	CEU	1359.62952657836
NA07347	CEU	932.254313088099
NA07357	CEU	1229.60291410744
NA10847	CEU	749.137316531196
NA10851	CEU	813.099386902664
NA11829	CEU	1441.93793721141
NA11830	CEU	1312.82101198321
NA11831	CEU	800.701771735799
NA11832	CEU	1099.45524658811
NA11840	CEU	757.768099202375
NA11843	CEU	1051.4066787275
NA11881	CEU	677.08002761494
NA11892	CEU	1097.14993893109
NA11893	CEU	662.612164611586
NA11894	CEU	662.138887122003
NA11918	CEU	943.846857024216
NA11919	CEU	1087.46357519136
NA11920	CEU	1048.4970936846
NA11930	CEU	988.747624855292
NA11931	CEU	934.743231065143
NA11932	CEU	895.977552540312
NA11933	CEU	1105.76372822105
NA11992	CEU	913.698585665002
NA11994	CEU	829.424727561095
NA11995	CEU	1025.77005500636
NA12003	CEU	827.772637872469
NA12004	CEU	965.901116548137
NA12005	CEU	810.346588198774
NA12006	CEU	719.688868589182
NA12043	CEU	802.569818014857
NA12044	CEU	1200.01802114875
NA12045	CEU	1079.05291716014
NA12046	CEU	2380.93731206058
NA12058	CEU	1164.95040081267
NA12144	CEU	990.338385620557
NA12154	CEU	1011.32306828109
NA12155	CEU	1066.73202304823
NA12156	CEU	1075.81550950824
NA12234	CEU	753.26695590102
NA12249	CEU	807.906575214173
NA12272	CEU	838.8124016687
NA12273	CEU	1196.24466715748
NA12275	CEU	823.975410431519
NA12282	CEU	1308.63791634245
NA12283	CEU	1117.07592841767
NA12286	CEU	740.564983196258
NA12287	CEU	705.799361301408
NA12340	CEU	1488.88063584643
NA12341	CEU	718.525198621197
NA12342	CEU	1457.13002973979
NA12347	CEU	865.384985262197
NA12348	CEU	1219.11854184944
NA12383	CEU	862.317139270378
NA12399	CEU	839.638602838168
NA12400	CEU	1169.7486119009
NA12413	CEU	1510.17678712694
NA12414	CEU	1041.4263975773
NA12489	CEU	950.252117740446
NA12546	CEU	855.874785356197
NA12716	CEU	1143.70316355446
NA12717	CEU	1062.02667551962
NA12718	CEU	951.036493459742
NA12748	CEU	1292.32099350748
NA12749	CEU	822.248176201535
NA12750	CEU	662.838632192248
NA12751	CEU	1152.58443317835
NA12760	CEU	739.605020679677
NA12761	CEU	924.94446560648
NA12762	CEU	1040.92038081275
